hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
0,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
1,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
2,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
3,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
4,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
5,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
6,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
7,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
8,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
9,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
10,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
11,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
12,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
13,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
14,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
15,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
16,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
17,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
18,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
19,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
20,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
21,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
22,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
23,0.036,0.17,0.17,"KBOB 2009/1:2016, ID 41.009 Biogas, cost from CEA, cost from Werke am Zurich see"
