building_name,zone_name,direction_name,surface_name,surface_type,surface_area,surface_comment
create_level_8_12a,zone11,south,surface_exterior_14,exterior_wall_curtain,4.704,0.98
create_level_8_12a,zone11,west,surface_exterior_15,exterior_wall_curtain,9.408,1.96
create_level_8_12b,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_12b,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_12b,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_12b,zone2,south,surface_exterior_4,exterior_wall_curtain,4.704,0.98
create_level_8_12b,zone2,west,surface_exterior_5,exterior_wall_curtain,9.408,1.96
create_level_8_12b,zone3,south,surface_exterior_6,exterior_wall_curtain,21.87,7.29
create_level_8_12b,zone3,west,surface_exterior_7,exterior_wall_curtain,11.94,3.98
create_level_8_12b,zone4,south,surface_exterior_8,exterior_wall_curtain,9.6,3.2
create_level_8_12b,zone5,south,surface_exterior_9,exterior_wall_curtain,9.6,3.2
create_level_8_12b,zone6,south,surface_exterior_10,exterior_wall_curtain,9.54,3.18
create_level_8_12b,zone7,south,surface_exterior_11,exterior_wall_curtain,9.75,3.25
create_level_8_12b,zone8,south,surface_exterior_12,exterior_wall_curtain,9.75,3.25
create_level_8_12b,zone9,south,surface_exterior_13,exterior_wall_curtain,19.5,6.5
create_level_8_12b,zone10,south,surface_exterior_14,exterior_wall_curtain,9.6,3.2
create_level_8_12b,zone11,east,surface_exterior_15,exterior_wall_curtain,12.0,4
create_level_8_12b,zone11,south,surface_exterior_16,exterior_wall_curtain,21.87,7.29
create_level_8_13a,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_13a,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_13a,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_13a,zone3,south,surface_exterior_4,exterior_wall_curtain,21.87,7.29
create_level_8_13a,zone3,west,surface_exterior_5,exterior_wall_curtain,11.94,3.98
create_level_8_13a,zone4,south,surface_exterior_6,exterior_wall_curtain,9.6,3.2
create_level_8_13a,zone5,south,surface_exterior_7,exterior_wall_curtain,9.6,3.2
create_level_8_13a,zone6,south,surface_exterior_8,exterior_wall_curtain,9.54,3.18
create_level_8_13a,zone7,south,surface_exterior_9,exterior_wall_curtain,9.75,3.25
create_level_8_13a,zone8,south,surface_exterior_10,exterior_wall_curtain,9.75,3.25
create_level_8_13a,zone9,south,surface_exterior_11,exterior_wall_curtain,19.5,6.5
create_level_8_13a,zone10,south,surface_exterior_12,exterior_wall_curtain,9.6,3.2
create_level_8_13a,zone11,east,surface_exterior_13,exterior_wall_curtain,12.0,4
create_level_8_13a,zone11,south,surface_exterior_14,exterior_wall_curtain,21.87,7.29
create_level_8_13a,zone12,south,surface_exterior_15,exterior_wall_curtain,4.704,0.98
create_level_8_13a,zone12,west,surface_exterior_16,exterior_wall_curtain,9.408,1.96
create_level_8_14a,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_14a,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_14a,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_14a,zone3,south,surface_exterior_4,exterior_wall_curtain,21.87,7.29
create_level_8_14a,zone3,west,surface_exterior_5,exterior_wall_curtain,11.94,3.98
create_level_8_14a,zone4,south,surface_exterior_6,exterior_wall_curtain,9.6,3.2
create_level_8_14a,zone5,south,surface_exterior_7,exterior_wall_curtain,9.6,3.2
create_level_8_14a,zone6,south,surface_exterior_8,exterior_wall_curtain,9.54,3.18
create_level_8_14a,zone7,south,surface_exterior_9,exterior_wall_curtain,9.75,3.25
create_level_8_14a,zone8,south,surface_exterior_10,exterior_wall_curtain,9.75,3.25
create_level_8_14a,zone9,south,surface_exterior_11,exterior_wall_curtain,19.5,6.5
create_level_8_14a,zone10,south,surface_exterior_12,exterior_wall_curtain,9.6,3.2
create_level_8_14a,zone11,east,surface_exterior_13,exterior_wall_curtain,12.0,4
create_level_8_14a,zone11,south,surface_exterior_14,exterior_wall_curtain,21.87,7.29
create_level_8_14a,zone13,south,surface_exterior_15,exterior_wall_curtain,4.704,0.98
create_level_8_14a,zone13,west,surface_exterior_16,exterior_wall_curtain,9.408,1.96
