Ts_C,QLake_kW
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.501,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.500,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.499,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.498,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.497,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.496,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.495,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.494,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.493,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.492,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.491,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.490,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.489,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.488,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.487,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.486,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.485,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.484,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.483,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.482,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.481,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.480,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.479,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.478,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.477,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.476,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.475,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.474,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.473,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.472,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.471,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
22.470,322528.650
