Date,roofs_top_kW,roofs_top_m2,walls_east_kW,walls_east_m2,walls_north_kW,walls_north_m2,walls_south_kW,walls_south_m2,walls_west_kW,walls_west_m2,windows_east_kW,windows_east_m2,windows_north_kW,windows_north_m2,windows_south_kW,windows_south_m2,windows_west_kW,windows_west_m2
2005-01-01 00:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 01:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 02:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 03:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 04:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 05:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 06:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 07:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 08:00:00,2.5,624.66,0.94,468.62,0.94,468.62,0.94,468.62,0.94,468.62,0.31,156.21,0.31,156.21,0.31,156.21,0.31,156.21
2005-01-01 09:00:00,44.35,624.66,54.61,468.62,14.98,468.62,59.28,468.62,14.98,468.62,17.9,156.21,4.95,156.21,19.68,156.21,5.02,156.21
2005-01-01 10:00:00,80.68,624.66,63.95,468.62,25.27,468.62,90.26,468.62,27.11,468.62,20.64,156.21,8.35,156.21,29.9,156.21,9.02,156.21
2005-01-01 11:00:00,111.19,624.66,63.95,468.62,30.16,468.62,130.45,468.62,35.96,468.62,20.62,156.21,9.97,156.21,43.29,156.21,11.98,156.21
2005-01-01 12:00:00,113.99,624.66,46.74,468.62,31.81,468.62,126.57,468.62,44.35,468.62,14.84,156.21,10.47,156.21,41.84,156.21,14.75,156.21
2005-01-01 13:00:00,94.32,624.66,35.85,468.62,28.72,468.62,101.83,468.62,52.71,468.62,11.38,156.21,9.44,156.21,33.61,156.21,17.5,156.21
2005-01-01 14:00:00,68.09,624.66,26.06,468.62,23.17,468.62,70.7,468.62,49.87,468.62,8.26,156.21,7.65,156.21,23.3,156.21,16.58,156.21
2005-01-01 15:00:00,34.98,624.66,12.94,468.62,12.35,468.62,54.23,468.62,49.31,468.62,4.13,156.21,4.08,156.21,17.99,156.21,16.6,156.21
2005-01-01 16:00:00,1.25,624.66,0.47,468.62,0.47,468.62,0.47,468.62,0.47,468.62,0.16,156.21,0.16,156.21,0.16,156.21,0.16,156.21
2005-01-01 17:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 18:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 19:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 20:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 21:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 22:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-01 23:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 00:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 01:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 02:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 03:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 04:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 05:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 06:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 07:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 08:00:00,4.37,624.66,1.86,468.62,1.85,468.62,1.87,468.62,1.82,468.62,0.62,156.21,0.62,156.21,0.62,156.21,0.62,156.21
2005-01-02 09:00:00,51.65,624.66,78.54,468.62,15.84,468.62,86.84,468.62,15.88,468.62,26.0,156.21,5.24,156.21,28.88,156.21,5.33,156.21
2005-01-02 10:00:00,82.58,624.66,67.91,468.62,24.74,468.62,98.05,468.62,26.61,468.62,22.0,156.21,8.19,156.21,32.54,156.21,8.86,156.21
2005-01-02 11:00:00,103.07,624.66,59.02,468.62,29.87,468.62,112.21,468.62,35.44,468.62,18.95,156.21,9.84,156.21,37.2,156.21,11.78,156.21
2005-01-02 12:00:00,99.95,624.66,44.05,468.62,30.14,468.62,102.6,468.62,41.49,468.62,13.95,156.21,9.97,156.21,33.87,156.21,13.81,156.21
2005-01-02 13:00:00,99.95,624.66,36.91,468.62,29.52,468.62,110.66,468.62,55.77,468.62,11.72,156.21,9.71,156.21,36.53,156.21,18.52,156.21
2005-01-02 14:00:00,79.33,624.66,28.11,468.62,25.01,468.62,88.61,468.62,60.59,468.62,8.9,156.21,8.23,156.21,29.26,156.21,20.11,156.21
2005-01-02 15:00:00,41.23,624.66,15.2,468.62,14.45,468.62,53.12,468.62,48.3,468.62,4.82,156.21,4.75,156.21,17.61,156.21,16.2,156.21
2005-01-02 16:00:00,1.25,624.66,0.47,468.62,0.47,468.62,0.47,468.62,0.47,468.62,0.16,156.21,0.16,156.21,0.16,156.21,0.16,156.21
2005-01-02 17:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 18:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 19:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 20:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 21:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 22:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-02 23:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 00:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 01:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 02:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 03:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 04:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 05:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 06:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 07:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 08:00:00,3.75,624.66,1.53,468.62,1.41,468.62,1.41,468.62,1.41,468.62,0.47,156.21,0.47,156.21,0.47,156.21,0.47,156.21
2005-01-03 09:00:00,53.44,624.66,83.5,468.62,15.91,468.62,92.46,468.62,15.98,468.62,27.69,156.21,5.24,156.21,30.75,156.21,5.38,156.21
2005-01-03 10:00:00,96.2,624.66,85.19,468.62,25.75,468.62,129.24,468.62,27.79,468.62,27.89,156.21,8.5,156.21,42.91,156.21,9.28,156.21
2005-01-03 11:00:00,131.43,624.66,79.7,468.62,29.28,468.62,194.65,468.62,35.36,468.62,26.11,156.21,9.68,156.21,64.67,156.21,11.83,156.21
2005-01-03 12:00:00,139.7,624.66,52.47,468.62,34.86,468.62,168.34,468.62,49.84,468.62,16.74,156.21,11.51,156.21,55.74,156.21,16.56,156.21
2005-01-03 13:00:00,127.13,624.66,39.83,468.62,31.75,468.62,165.36,468.62,72.56,468.62,12.74,156.21,10.47,156.21,54.74,156.21,24.12,156.21
2005-01-03 14:00:00,83.08,624.66,27.77,468.62,24.74,468.62,101.02,468.62,67.2,468.62,8.84,156.21,8.15,156.21,33.38,156.21,22.32,156.21
2005-01-03 15:00:00,41.23,624.66,15.32,468.62,14.6,468.62,50.58,468.62,45.96,468.62,4.84,156.21,4.82,156.21,16.74,156.21,15.42,156.21
2005-01-03 16:00:00,1.25,624.66,0.47,468.62,0.47,468.62,0.47,468.62,0.47,468.62,0.16,156.21,0.16,156.21,0.16,156.21,0.16,156.21
2005-01-03 17:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 18:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 19:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 20:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 21:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 22:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-03 23:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 00:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 01:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 02:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 03:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 04:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 05:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 06:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 07:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 08:00:00,1.87,624.66,0.92,468.62,0.92,468.62,0.93,468.62,0.91,468.62,0.29,156.21,0.31,156.21,0.31,156.21,0.31,156.21
2005-01-04 09:00:00,17.49,624.66,7.63,468.62,6.92,468.62,7.46,468.62,6.89,468.62,2.41,156.21,2.28,156.21,2.45,156.21,2.28,156.21
2005-01-04 10:00:00,33.11,624.66,14.68,468.62,13.08,468.62,14.74,468.62,13.19,468.62,4.64,156.21,4.33,156.21,4.86,156.21,4.35,156.21
2005-01-04 11:00:00,43.1,624.66,18.69,468.62,16.82,468.62,19.28,468.62,17.25,468.62,5.94,156.21,5.53,156.21,6.32,156.21,5.71,156.21
2005-01-04 12:00:00,41.85,624.66,17.84,468.62,16.41,468.62,18.42,468.62,16.97,468.62,5.62,156.21,5.4,156.21,6.03,156.21,5.62,156.21
2005-01-04 13:00:00,43.1,624.66,18.04,468.62,16.79,468.62,19.26,468.62,17.82,468.62,5.71,156.21,5.53,156.21,6.32,156.21,5.89,156.21
2005-01-04 14:00:00,32.48,624.66,13.56,468.62,12.88,468.62,14.35,468.62,13.68,468.62,4.26,156.21,4.2,156.21,4.73,156.21,4.51,156.21
2005-01-04 15:00:00,18.12,624.66,7.43,468.62,7.14,468.62,7.75,468.62,7.51,468.62,2.32,156.21,2.37,156.21,2.57,156.21,2.48,156.21
2005-01-04 16:00:00,1.87,624.66,0.92,468.62,0.91,468.62,0.93,468.62,0.91,468.62,0.29,156.21,0.31,156.21,0.31,156.21,0.31,156.21
2005-01-04 17:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 18:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 19:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 20:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 21:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 22:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-04 23:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 00:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 01:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 02:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 03:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 04:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 05:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 06:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 07:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 08:00:00,2.5,624.66,0.94,468.62,0.94,468.62,0.94,468.62,0.94,468.62,0.31,156.21,0.31,156.21,0.31,156.21,0.31,156.21
2005-01-05 09:00:00,29.36,624.66,14.02,468.62,11.5,468.62,13.83,468.62,11.38,468.62,4.42,156.21,3.75,156.21,4.55,156.21,3.75,156.21
2005-01-05 10:00:00,51.85,624.66,23.96,468.62,19.43,468.62,24.93,468.62,19.9,468.62,7.54,156.21,6.36,156.21,8.21,156.21,6.61,156.21
2005-01-05 11:00:00,69.96,624.66,31.85,468.62,25.79,468.62,35.19,468.62,27.56,468.62,10.13,156.21,8.48,156.21,11.58,156.21,9.13,156.21
2005-01-05 12:00:00,66.84,624.66,28.54,468.62,24.8,468.62,32.36,468.62,27.19,468.62,9.02,156.21,8.15,156.21,10.64,156.21,8.97,156.21
2005-01-05 13:00:00,59.34,624.66,24.46,468.62,22.19,468.62,28.03,468.62,24.76,468.62,7.7,156.21,7.25,156.21,9.19,156.21,8.19,156.21
2005-01-05 14:00:00,58.72,624.66,23.78,468.62,21.72,468.62,30.54,468.62,26.93,468.62,7.56,156.21,7.14,156.21,10.09,156.21,8.93,156.21
2005-01-05 15:00:00,25.61,624.66,10.53,468.62,10.15,468.62,11.7,468.62,11.36,468.62,3.3,156.21,3.32,156.21,3.86,156.21,3.73,156.21
2005-01-05 16:00:00,2.5,624.66,0.94,468.62,0.94,468.62,0.94,468.62,0.94,468.62,0.31,156.21,0.31,156.21,0.31,156.21,0.31,156.21
2005-01-05 17:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 18:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 19:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 20:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 21:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 22:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-05 23:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 00:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 01:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 02:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 03:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 04:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 05:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 06:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 07:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 08:00:00,3.12,624.66,1.39,468.62,1.38,468.62,1.39,468.62,1.38,468.62,0.47,156.21,0.47,156.21,0.47,156.21,0.47,156.21
2005-01-06 09:00:00,43.1,624.66,51.17,468.62,15.0,468.62,54.51,468.62,14.94,468.62,16.67,156.21,4.95,156.21,18.05,156.21,5.02,156.21
2005-01-06 10:00:00,86.83,624.66,72.42,468.62,25.25,468.62,104.87,468.62,27.09,468.62,23.5,156.21,8.37,156.21,34.83,156.21,9.04,156.21
2005-01-06 11:00:00,112.44,624.66,64.79,468.62,30.67,468.62,129.28,468.62,36.38,468.62,20.89,156.21,10.13,156.21,42.89,156.21,12.12,156.21
2005-01-06 12:00:00,136.8,624.66,51.1,468.62,33.83,468.62,167.68,468.62,48.14,468.62,16.33,156.21,11.14,156.21,55.52,156.21,16.0,156.21
2005-01-06 13:00:00,114.22,624.66,39.19,468.62,31.23,468.62,133.79,468.62,63.27,468.62,12.47,156.21,10.31,156.21,44.21,156.21,21.02,156.21
2005-01-06 14:00:00,76.83,624.66,27.78,468.62,24.66,468.62,84.58,468.62,58.05,468.62,8.81,156.21,8.15,156.21,27.92,156.21,19.28,156.21
2005-01-06 15:00:00,40.6,624.66,16.16,468.62,15.34,468.62,45.66,468.62,41.38,468.62,5.11,156.21,5.04,156.21,15.09,156.21,13.84,156.21
2005-01-06 16:00:00,1.87,624.66,0.92,468.62,0.91,468.62,0.93,468.62,0.91,468.62,0.29,156.21,0.31,156.21,0.31,156.21,0.31,156.21
2005-01-06 17:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 18:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 19:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 20:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 21:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 22:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-06 23:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-07 00:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-07 01:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-07 02:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-07 03:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-07 04:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-07 05:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-07 06:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-07 07:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
2005-01-07 08:00:00,9.99,624.66,4.7,468.62,3.97,468.62,4.47,468.62,3.75,468.62,1.45,156.21,1.27,156.21,1.47,156.21,1.25,156.21
2005-01-07 09:00:00,52.19,624.66,77.79,468.62,16.09,468.62,84.73,468.62,16.07,468.62,25.75,156.21,5.33,156.21,28.16,156.21,5.38,156.21
2005-01-07 10:00:00,93.35,624.66,83.63,468.62,25.0,468.62,125.85,468.62,26.92,468.62,27.4,156.21,8.28,156.21,41.8,156.21,9.02,156.21
2005-01-07 11:00:00,176.18,624.66,106.89,468.62,30.19,468.62,292.76,468.62,37.33,468.62,35.5,156.21,10.04,156.21,97.41,156.21,12.47,156.21
2005-01-07 12:00:00,141.7,624.66,49.45,468.62,31.81,468.62,198.63,468.62,46.57,468.62,15.84,156.21,10.49,156.21,65.85,156.21,15.51,156.21
2005-01-07 13:00:00,49.97,624.66,20.81,468.62,19.16,468.62,22.66,468.62,20.7,468.62,6.56,156.21,6.32,156.21,7.48,156.21,6.85,156.21
2005-01-07 14:00:00,68.71,624.66,26.58,468.62,23.57,468.62,69.64,468.62,49.26,468.62,8.41,156.21,7.77,156.21,22.96,156.21,16.36,156.21
2005-01-07 15:00:00,46.48,624.66,16.55,468.62,15.77,468.62,60.46,468.62,54.91,468.62,5.24,156.21,5.2,156.21,20.04,156.21,18.41,156.21
2005-01-07 16:00:00,4.37,624.66,1.86,468.62,1.85,468.62,1.87,468.62,1.87,468.62,0.6,156.21,0.62,156.21,0.62,156.21,0.62,156.21
2005-01-07 17:00:00,0.0,624.66,0.0,468.62,0.0,468.62,0.0,468.62,0.0,468.62,0.0,156.21,0.0,156.21,0.0,156.21,0.0,156.21
